lead_id,source,industry,company_size,job_title_seniority,email_opens_30d,site_visits_30d,avg_pages_per_visit,demo_requested,budget_confirmed,days_to_first_response,converted
LEAD-00001,Website form,Manufacturing,51-200,IC,0,3,8.3,0,0,0.8,0
LEAD-00002,Referral,SaaS,51-200,Director,2,3,6.5,0,0,3.0,0
LEAD-00003,Referral,Manufacturing,51-200,IC,4,2,2.7,0,0,0.7,0
LEAD-00004,Referral,Manufacturing,1-10,Manager,1,5,1.8,0,0,0.8,0
LEAD-00005,Webinar,Retail,51-200,Manager,2,5,4.1,0,0,0.1,0
LEAD-00006,Cold outbound,Manufacturing,1000+,VP/C-level,3,4,1.0,1,0,3.2,0
LEAD-00007,Content download,SaaS,11-50,IC,6,3,1.5,0,0,3.5,1
LEAD-00008,Webinar,Education,1-10,Director,6,5,8.5,1,1,1.6,1
LEAD-00009,Paid ad,Manufacturing,1000+,Director,0,3,1.7,1,0,3.9,0
LEAD-00010,Referral,Healthcare,51-200,Manager,2,4,0.9,0,0,2.8,1
LEAD-00011,Cold outbound,Manufacturing,1-10,IC,3,3,2.1,0,0,3.6,0
LEAD-00012,Website form,Finance,51-200,Director,3,2,3.0,0,0,0.3,1
LEAD-00013,Referral,Healthcare,1000+,IC,5,5,2.5,0,1,2.6,0
LEAD-00014,Website form,Healthcare,1-10,IC,2,4,0.6,0,0,0.1,0
LEAD-00015,Webinar,Manufacturing,201-1000,Director,3,1,6.3,0,0,0.7,0
LEAD-00016,Website form,Healthcare,51-200,VP/C-level,3,5,3.9,0,1,0.4,0
LEAD-00017,Website form,Healthcare,1-10,IC,6,4,1.8,0,0,6.4,0
LEAD-00018,Website form,Manufacturing,1-10,Director,0,6,1.9,0,0,1.8,0
LEAD-00019,Referral,Manufacturing,1000+,IC,2,4,3.0,0,0,9.2,0
LEAD-00020,Content download,Education,11-50,IC,5,8,0.7,0,0,1.3,0
LEAD-00021,Content download,Healthcare,11-50,Manager,2,5,0.6,1,0,2.9,0
LEAD-00022,Paid ad,Manufacturing,51-200,VP/C-level,3,8,0.9,0,0,3.2,0
LEAD-00023,Content download,SaaS,11-50,IC,3,5,1.8,1,0,0.3,0
LEAD-00024,Cold outbound,Manufacturing,1-10,Manager,4,4,0.1,0,0,5.0,0
LEAD-00025,Referral,Healthcare,1-10,VP/C-level,2,4,1.4,1,0,0.0,1
LEAD-00026,Website form,Education,11-50,IC,3,8,2.3,1,0,0.2,1
LEAD-00027,Website form,Finance,51-200,Director,3,2,4.1,0,1,4.1,0
LEAD-00028,Webinar,Healthcare,51-200,Manager,5,0,1.3,0,0,4.8,1
LEAD-00029,Content download,Education,11-50,IC,2,6,1.0,0,0,1.6,0
LEAD-00030,Cold outbound,Finance,1-10,Manager,5,2,0.2,0,0,1.5,0
LEAD-00031,Referral,Finance,51-200,IC,0,5,7.1,0,1,3.6,1
LEAD-00032,Cold outbound,Healthcare,1-10,IC,0,4,1.3,0,0,9.3,0
LEAD-00033,Website form,Finance,51-200,Manager,4,3,3.2,1,0,2.5,1
LEAD-00034,Webinar,Healthcare,11-50,VP/C-level,2,7,1.8,0,1,0.2,1
LEAD-00035,Content download,Education,11-50,Director,2,1,2.1,0,0,1.8,0
LEAD-00036,Cold outbound,Manufacturing,11-50,Manager,5,5,1.2,0,1,1.0,0
LEAD-00037,Webinar,Retail,1-10,IC,1,0,4.2,0,0,4.9,0
LEAD-00038,Paid ad,Education,1-10,IC,3,4,0.9,0,0,2.0,0
LEAD-00039,Website form,Manufacturing,51-200,VP/C-level,2,3,0.8,1,0,3.4,1
